fips,per_capita_health_cost,low_birthweight_percentage,food_environment,physical_exercise_opportunities,teen_births,limited_healthy_access,stis,primarycare_ratio,dentist_ratio,mentalhealth_ratio,otherproviders_ratio,disconnected_youth,unemployment,income_inequality,children_freelunches,single_parent_households,social_associations,water_violations,high_housing_costs,housing_overcrowding,segregation_black_white,segregation_nonwhite_white,homeownership,severe_ownership_cost,smoke_perc,obesity_perc,inactive_perc,drinking_perc,food_insecure_perc,preventable_hospitalization,mammogram_perc,flu_vaccine_perc,violent_crime,air_pollution,drive_alone_perc,long_commute_perc,traffic_volume,party,age_over_18,age_over_65,age_over_85,age_under_5,asian,avg_family_size,bachelors,black,hispanic,household_has_broadband,household_has_computer,household_has_smartphone,households_speak_asian_or_pac_isl,households_speak_limited_english,households_speak_other,households_speak_other_indo_euro_lang,households_speak_spanish,housing_mobile_homes,housing_one_unit_structures,housing_two_unit_structures,hs_grad,mean_household_income,median_age,median_household_income,median_individual_income,median_individual_income_age_25plus,native,other_single_race,pac_isl,per_capita_income,persons_per_household,pop,poverty,poverty_65_and_over,poverty_under_18,two_plus_races,uninsured,uninsured_65_and_older,uninsured_under_19,uninsured_under_6,veterans,white,white_not_hispanic
13157,10206,0.0772301284276293,8.9,0.303033810035546,0.0232722642710618,0.016755015053319,0.00273996949006946,1875.5277778,2200.6875,2134,1676.7142857,0.0854700854700855,0.029877510483337,4.13654086662253,0.431470137825421,0.237725016446385,8.145855240747e-4,1,0.1185703936,0.015155103,32.193377107,20.296444216,0.775392575111192,0.0942871944614515,0.16,0.3,0.31,0.18,0.09,4922,0.44,0.49,222,11,0.84,0.49,69,republican,74.6,14.4,1.2,6.6,1.8,3.31,22.7,6.8,7.7,79.3,75.9,79.4,1.4,0.9,0.1,1.3,6.6,22.1,14,77.9,84.1,81860,38.1,65385,30862,41137,0.1,2.3,0.1,28915,2.89,67885,11.3,9.7,13.9,2.5,11.8,0.4,6.9,3.8,8.4,86.5,81.3
13175,10586,0.10713476783692,6.5,0.529751827228806,0.0449810606060606,0.0549223974067804,0.00619057680118318,1126.9047619,2366.25,473.25,751.19047619,0.14587650227932,0.0480946527350953,5.666950535803,0.798648648648649,0.4900103341371,0.00124656665962392,0,0.1265441398,0.0175936436,35.528443484,33.321967644,0.626898678926846,0.127968421722799,0.2,0.42,0.4,0.13,0.2,4488,0.49,0.43,359,11.2,0.87,0.24,56,republican,75.3,17.2,1.7,6.6,1.1,3.32,16.2,37.3,2.7,60.2,60.8,54.2,0.7,0.4,0,0.6,2.5,35.8,24.6,64.2,85.9,56190,38.9,39120,22223,31996,0.1,2,0,21665,2.71,47405,27.1,22,36.4,0.9,11.4,1.1,3.7,3.1,9,58.6,57.2
13179,9203,0.0871421639980592,5.5,0.690968118134682,0.0560785586755397,0.216066991852237,0.0140422897729124,2557.75,654.22340426,245.00796813,355.47398844,0.135090609555189,0.0431416789854509,3.63793339728656,0.670506912442396,0.405345338500114,7.4935653080507e-4,0,0.1568934646,0.0162423178,23.885090703,22.999610931,0.444731404958678,0.158725886047555,0.19,0.38,0.35,0.17,0.17,3951,0.33,0.32,478,10.2,0.82,0.26,57,democrat,71.8,8.8,0.6,10.2,2.1,3,18.3,41.2,12.6,87,78.7,85.4,2.8,2.5,0.6,3.1,10,54.3,13.6,45.7,90.7,58338,28.4,48007,28879,32723,0.5,3.4,0.5,22811,2.53,61349,15.9,13.2,20.8,6.6,11.2,0,4.9,4.8,23.5,45.8,38.9
13185,10175,0.10499316005472,6.2,0.729605522140745,0.0284106058361724,0.110720431197532,0.00917836330732797,1698.3676471,1789.5538462,599.59278351,807.78472222,0.0993871569411138,0.0406987979747227,6.50462861724616,0.714219854523102,0.408134796813627,0.0010217423304384,1,0.1540652512,0.0296407938,50.544371745,47.003040642,0.522830598932595,0.165004189981888,0.2,0.38,0.34,0.15,0.19,5022,0.46,0.37,280,10.4,0.85,0.15,107,republican,76,11.9,1.3,7.1,1.7,3.37,25.3,36.5,5.7,66.1,71.1,76.5,1.5,0.7,0.2,1.2,4.1,47.7,9.7,52.3,86.6,61180,30.5,42441,24530,32316,0.4,1.9,0.1,23348,2.69,115364,24.4,16.6,30.9,2.4,14.9,0.4,6.1,5.6,9.3,57,53.8
13213,10235,0.0874115112342259,8,0.840037347330171,0.045316565481353,0.068102367293328,0.00301643959579709,5683.1428571,9980.25,7984.2,1330.7,0.118938233792751,0.0531267640970959,3.7113243414501698,0.746102150537634,0.279401135776975,3.5191795284299e-4,0,0.1089108911,0.0403084472,61.00018861,32.524899632,0.69192528939706,0.0856529464021321,0.18,0.34,0.29,0.17,0.11,6416,0.36,0.48,448,10.5,0.89,0.39,42,republican,75.1,14.4,0.9,6.3,0.3,3.15,10.1,1,15,77.5,63.9,72.9,0.4,2.2,0,0.5,8.5,30.4,34.3,69.6,70.7,59543,38.2,48033,25683,32261,0.1,0.7,0,21989,2.74,39724,15.6,9.7,25.8,1,14.6,0.4,8.9,9.1,5.4,96.8,82.5
13215,10193,0.116686334670758,6,0.87653579798299,0.0413603150394938,0.118237070800748,0.0093786393758567,980.09090909,1718.2300885,321.99004975,491.5443038,0.0875884490342322,0.0507724878393024,5.19103600293902,0.778814144840148,0.488100667523529,0.00102546661307444,0,0.1699979107,0.0222600408,60.010198028,52.216931842,0.480171137074214,0.182999957471541,0.2,0.39,0.32,0.15,0.2,4383,0.38,0.4,567,11.9,0.8,0.15,473,democrat,75.2,13,1.7,7.2,2.5,3.38,25.8,46.3,7.6,78.4,70.2,78.1,1.9,1.6,0.4,2.7,6.3,52,1.1,48,88,65942,34,46408,24763,32902,0.4,2.7,0.1,26097,2.59,195739,20.7,13.6,28.7,4.6,11.5,1,3.8,3.1,14.1,43.3,40.3
13217,11777,0.0982189904099484,6.7,0.72807579183257,0.026099429730959,0.111005528291883,0.00808675216047669,3602.6,5477.05,1053.2788462,1738.7460317,0.0895836464752743,0.0445345693317883,4.54772829509672,0.685506435366536,0.383036693676798,6.939432631988e-4,1,0.1480894016,0.0168139071,32.459770952,32.512046342,0.676978102986949,0.155663302700569,0.17,0.39,0.31,0.15,0.16,5721,0.43,0.45,396,11.5,0.82,0.48,67,democrat,73.6,12.7,1.2,6.4,1.1,3.44,19.8,44.9,5.6,85.5,80.8,84.1,0.7,1.2,0.6,2.1,4.3,32.4,4.8,67.6,86.6,71820,36.4,56316,26231,34421,0.3,0.9,0.1,25247,2.88,108079,15.5,8.4,21.4,2.3,13,0.7,6.5,4.7,8.6,50.4,46.4
13223,10774,0.0740013656538068,8.2,0.796626008262837,0.0143771189681103,0.0743633789522498,0.0032738561886544,6377.8,6309.3846154,2025.2345679,2523.7538462,0.069298340743954,0.0344231411265322,3.49870230601712,0.405641461342396,0.273202022128958,4.139358399448e-4,0,0.1244939271,0.0186943917,28.014323306,23.498215305,0.763767203038806,0.116653711620676,0.16,0.34,0.27,0.2,0.1,6370,0.4,0.46,143,10.7,0.84,0.61,72,republican,73.4,10.4,0.8,6.6,1,3.39,22.6,19.1,6.3,85.6,85,86.3,0.8,0.3,1.1,2.1,4.4,24.2,3.1,75.8,89.4,80865,36,68370,33102,42816,0.3,1.3,0,27979,2.99,159825,8.2,8.9,11.1,3.3,11.5,0.3,6.4,6.2,8.4,75,71
13233,11623,0.0909533073929961,7.8,0.797588908981314,0.0468767522709431,0.0515519121543098,0.00425329689913271,3507.0833333,3860.9090909,1370,2654.375,0.132014533710133,0.0418961235287766,4.62802609586456,0.855301773637872,0.426053350928457,0.00116431032434359,0,0.1279782165,0.0326160054,22.673661558,15.094394382,0.65018986076877,0.139469818843114,0.18,0.38,0.29,0.16,0.13,6714,0.41,0.45,569,10.9,0.85,0.36,94,republican,74.1,15.4,1.3,6.8,0.4,3.38,13.7,12,13.1,74.5,62.8,77.4,0,2.7,0.6,0.8,8.3,35.4,8.4,64.6,78.8,64011,37,44891,24758,32540,0.5,5.2,0,23857,2.77,41908,18.4,10,28,2.7,15.7,0.8,12.4,9.2,8,79.3,72
13245,10444,0.113771057912175,5.1,0.73084881998913,0.0402732090643275,0.179413973652324,0.011382556987116,1019.1919192,527.62827225,328.79934747,454.9751693,0.105249086534177,0.0514856971348094,5.34352985974488,0.939019378497139,0.531949742462447,0.00103072348860258,0,0.1906120702,0.0208362081,45.374210097,43.769936856,0.532695905217211,0.193826731526523,0.2,0.36,0.31,0.14,0.21,4454,0.36,0.37,429,11.3,0.81,0.23,396,democrat,76.9,13.6,1.3,6.8,1.9,3.52,21.4,56.5,4.9,75.8,66.8,77,1.6,1.4,0.4,2.2,4.5,47.4,7.2,52.6,84.1,58176,34.1,42728,22300,30389,0.3,1.4,0.2,22787,2.69,201852,23,11.7,36.1,2.6,13,0.5,5.9,5,12.3,37.1,34.5
